index,O,F,M
656,0.00,0.21,0.79
1101,0.00,1.00,0.00
2509,0.00,1.00,0.00
1476,0.00,1.00,0.00
60,0.00,0.00,1.00
1637,0.00,1.00,0.00
398,0.00,0.00,1.00
2200,0.00,0.00,1.00
2377,0.00,1.00,0.00
1608,0.00,1.00,0.00
1868,0.00,0.00,1.00
1588,0.00,1.00,0.00
1921,0.00,0.00,1.00
2225,0.00,0.00,1.00
1910,0.00,1.00,0.00
577,0.00,0.96,0.04
1425,0.00,0.00,1.00
2007,0.00,1.00,0.00
1982,1.00,0.00,0.00
863,0.00,1.00,0.00
566,0.00,1.00,0.00
100,0.00,0.02,0.98
2461,1.00,0.00,0.00
2390,0.00,0.00,1.00
1744,0.00,1.00,0.00
2391,0.00,1.00,0.00
1362,0.00,0.00,1.00
1433,0.00,0.00,1.00
1399,0.00,0.00,1.00
2004,0.00,0.55,0.45
1355,0.00,0.00,1.00
456,0.00,0.00,1.00
1216,0.00,0.00,1.00
2346,0.00,1.00,0.00
1572,0.00,1.00,0.00
1654,0.00,0.00,1.00
1141,0.00,1.00,0.00
2508,0.00,1.00,0.00
1436,0.00,0.00,1.00
144,0.00,0.97,0.03
782,0.00,0.10,0.90
2218,0.00,0.00,1.00
481,0.00,0.00,1.00
2345,0.00,0.99,0.01
2152,0.00,0.00,1.00
2336,0.00,1.00,0.00
445,0.00,0.00,1.00
571,0.00,0.00,1.00
283,0.00,0.00,1.00
234,0.00,0.00,1.00
1688,0.00,1.00,0.00
1715,0.00,0.13,0.87
216,0.00,0.00,1.00
736,0.00,1.00,0.00
2013,0.00,0.00,1.00
869,0.00,0.00,1.00
1404,0.00,0.99,0.01
1981,0.00,0.03,0.97
13,0.00,0.00,1.00
2381,0.00,1.00,0.00
487,0.00,1.00,0.00
442,0.00,1.00,0.00
194,0.00,0.00,1.00
923,0.00,0.00,1.00
1877,0.00,0.96,0.04
2452,0.00,0.00,1.00
126,0.00,0.00,1.00
1719,0.00,1.00,0.00
94,0.00,0.00,1.00
510,0.00,0.00,1.00
377,0.00,1.00,0.00
376,1.00,0.00,0.00
1614,0.00,1.00,0.00
1821,0.00,0.01,0.99
1635,0.00,0.00,1.00
2276,0.00,0.97,0.03
1681,0.00,1.00,0.00
198,0.00,0.00,1.00
1373,0.00,0.00,1.00
472,0.00,0.74,0.26
66,0.00,0.00,1.00
63,0.00,0.00,1.00
794,0.00,1.00,0.00
550,0.00,1.00,0.00
284,0.00,0.00,1.00
2425,0.00,1.00,0.00
138,0.00,0.08,0.92
2222,0.00,1.00,0.00
1959,0.00,1.00,0.00
1030,0.00,1.00,0.00
790,0.00,0.00,1.00
1842,0.00,0.61,0.39
1426,0.00,0.00,1.00
1136,0.00,1.00,0.00
2097,0.00,0.00,1.00
881,0.00,0.00,1.00
443,0.00,0.00,1.00
39,0.00,0.00,1.00
2472,0.00,1.00,0.00
1129,0.00,1.00,0.00
1024,0.00,0.00,1.00
1915,0.00,0.00,1.00
592,0.00,1.00,0.00
413,0.00,0.00,1.00
290,0.00,0.00,1.00
1568,0.00,1.00,0.00
215,0.00,0.00,1.00
1496,0.00,0.00,1.00
2354,0.00,1.00,0.00
1800,0.00,1.00,0.00
1541,0.00,1.00,0.00
1618,0.00,1.00,0.00
48,0.00,0.00,1.00
1115,0.00,1.00,0.00
1467,0.00,1.00,0.00
2213,0.00,0.03,0.97
1836,0.00,0.00,1.00
45,0.00,0.00,1.00
2158,0.00,0.00,1.00
1648,0.00,0.00,1.00
1308,0.00,1.00,0.00
1665,0.00,0.00,1.00
