index,O,F,M
1,0,1,0
2,0.00E+00,7.83E-63,1.00E+00
3,9.50E-164,1.00E+00,1.72E-12
4,6.59E-77,2.75E-21,1.00E+00
5,0.00E+00,1.39E-268,1.00E+00
6,3.03E-217,1.00E+00,6.62E-14
7,1.07E-127,1.00E+00,1.17E-09
8,1.36E-291,2.17E-42,1.00E+00
9,0.00E+00,5.19E-173,1.00E+00
10,0.00E+00,7.84E-11,1.00E+00
11,0.00E+00,1.00E+00,1.34E-17
12,0.00E+00,9.73E-36,1.00E+00
13,0,0,1
14,4.17E-115,8.00E-07,1.00E+00
15,2.04E-153,9.65E-23,1.00E+00
16,0.00E+00,2.37E-155,1.00E+00
17,2.22E-277,6.58E-21,1.00E+00
18,0.00E+00,9.03E-112,1.00E+00
20,0.00E+00,6.80E-77,1.00E+00
21,0.00E+00,1.00E-207,1.00E+00
22,0.00E+00,6.27E-102,1.00E+00
23,4.94065646e-324,1.00E+00,1.28E-09
24,6.72E-158,6.50E-31,1.00E+00
25,3.88E-118,1.00E+00,4.57E-17
26,1.06E-108,2.12E-18,1.00E+00
27,2.12E-291,1.00E+00,3.40E-17
28,1.48E-46,1.44E-53,1.00E+00
30,4.72E-45,6.98E-21,1.00E+00
31,2.25E-199,1.00E+00,9.22E-16
32,3.14E-73,2.88E-05,1.00E+00
33,1.44E-172,8.67E-23,1.00E+00
34,5.14E-219,1.80E-65,1.00E+00
35,9.40E-109,9.60E-24,1.00E+00
36,9.83E-149,3.13E-21,1.00E+00
37,1.87E-81,5.56E-12,1.00E+00
38,8.82E-51,8.69E-06,1.00E+00
39,0.00E+00,6.13E-92,1.00E+00
40,0.00E+00,3.50E-07,1.00E+00
41,2.12E-130,4.22E-07,1.00E+00
42,0.00E+00,1.36E-79,1.00E+00
43,9.10E-107,4.20E-19,1.00E+00
44,5.14E-50,5.57E-04,9.99E-01
45,0.00E+00,8.41E-94,1.00E+00
46,3.84E-77,1.00E+00,3.50E-09
47,5.50E-140,4.04E-24,1.00E+00
48,0.00E+00,0.00E+00,1.00E+00
49,0,0,1
50,8.89E-140,6.80E-52,1.00E+00
51,9.84E-124,1.63E-05,1.00E+00
52,1.18E-162,3.50E-77,1.00E+00
53,0.00E+00,4.97E-46,1.00E+00
54,0.00E+00,3.10E-31,1.00E+00
55,0.00E+00,3.12E-34,1.00E+00
56,0.00E+00,7.38E-65,1.00E+00
57,7.39E-56,1.05E-09,1.00E+00
58,6.14E-105,2.43E-17,1.00E+00
60,8.56E-53,3.16E-05,1.00E+00
61,0.00E+00,1.40E-22,1.00E+00
62,4.78E-84,7.30E-06,1.00E+00
63,0.00E+00,1.55E-66,1.00E+00
64,1.60E-68,1.65E-09,1.00E+00
65,1.81E-182,1.57E-22,1.00E+00
67,1.33E-112,4.06E-12,1.00E+00
68,7.80E-140,3.41E-07,1.00E+00
70,5.87E-108,2.28E-25,1.00E+00
71,7.72E-154,1.00E+00,1.92E-33
72,1.43E-64,9.21E-01,7.90E-02
73,3.43E-85,6.64E-18,1.00E+00
74,0.00E+00,4.14E-137,1.00E+00
75,9.39E-68,7.75E-18,1.00E+00
77,0.00E+00,7.96172527e-311,1.00E+00
78,0.00E+00,4.64E-165,1.00E+00
79,0.00E+00,1.65E-39,1.00E+00
80,1.30E-99,1.78E-28,1.00E+00
81,1.52E-123,4.74E-10,1.00E+00
82,0.00E+00,1.16E-253,1.00E+00
83,1.70E-148,9.45E-40,1.00E+00
84,1.21E-140,4.01E-08,1.00E+00
85,1.87E-128,3.37E-26,1.00E+00
86,0.00E+00,2.00E-157,1.00E+00
87,1.23E-54,5.32E-02,9.47E-01
88,8.19E-106,1.71E-04,1.00E+00
89,3.37E-213,1.68E-24,1.00E+00
90,2.14E-84,1.00E+00,6.88E-09
91,3.77E-174,2.91E-27,1.00E+00
92,0.00E+00,6.66E-173,1.00E+00
93,4.22745294e-318,1.00E+00,1.47E-43
94,0.00E+00,1.01E-122,1.00E+00
96,2.80E-52,9.48E-10,1.00E+00
98,0,0,1
99,4.79E-306,9.78E-01,2.25E-02
100,1.02E-45,7.48E-03,9.93E-01
102,0.00E+00,1.75E-176,1.00E+00
103,2.04E-89,5.33E-06,1.00E+00
104,6.91E-47,5.58E-10,1.00E+00
105,2.60E-158,1.00E+00,1.89E-07
106,0,0.8734666 ,0.1265334
107,1.66E-145,1.00E+00,4.30E-11
108,0.00E+00,4.67E-117,1.00E+00
109,0.00E+00,1.30E-144,1.00E+00
110,1.68E-224,1.00E+00,1.14E-14
111,0.00E+00,2.38E-09,1.00E+00
112,0.00E+00,2.15E-41,1.00E+00
113,0.00E+00,9.53E-299,1.00E+00
114,8.74E-288,5.20E-11,1.00E+00
115,8.42E-92,3.22E-18,1.00E+00
116,0.00E+00,2.61E-18,1.00E+00
117,2.93E-96,8.45E-22,1.00E+00
118,5.38E-79,1.57E-03,9.98E-01
119,0.00E+00,6.87E-33,1.00E+00
120,1.75E-177,1.39E-13,1.00E+00
121,2.66E-185,3.77E-13,1.00E+00
122,4.28E-297,2.87E-07,1.00E+00
123,5.44E-205,7.43E-12,1.00E+00
124,0,0,1
125,7.85E-96,1.37E-12,1.00E+00
126,2.81E-123,4.53E-22,1.00E+00
127,6.30E-191,1.71E-45,1.00E+00
128,2.31E-75,1.67E-14,1.00E+00
131,0.00E+00,1.00E+00,6.39E-52
132,0.00E+00,3.04E-65,1.00E+00
133,0.00E+00,1.63E-62,1.00E+00
134,0.00E+00,1.84E-66,1.00E+00
135,0,0.00315646 ,0.99684354
136,0.00E+00,4.74E-128,1.00E+00
137,4.57E-59,2.10E-07,1.00E+00
138,4.98E-298,2.20E-15,1.00E+00
139,0.00E+00,1.00E+00,7.27E-35
140,1.29E-136,2.34E-18,1.00E+00
141,0,0.95094149 ,0.04905851
142,3.12E-125,2.91E-27,1.00E+00
143,0.00E+00,1.00E+00,8.47E-34
144,1.51E-77,1.00E+00,6.54E-05
145,0,0,1
146,2.11E-46,1.76E-10,1.00E+00
147,0.00E+00,1.00E+00,1.35E-30
148,8.73E-40,1.59E-10,1.00E+00
149,1.33E-66,1.00E+00,7.39E-08
150,1.57E-291,5.60E-34,1.00E+00
151,0.00E+00,8.13E-215,1.00E+00
152,6.11E-48,1.43E-13,1.00E+00
154,0.00E+00,1.00E+00,7.42E-15
155,0.00E+00,4.54E-73,1.00E+00
156,0.00E+00,5.28E-61,1.00E+00
157,3.56E-129,7.27E-23,1.00E+00
158,1.29E-13,1.00E+00,9.32E-07
159,1.67E-203,1.72E-31,1.00E+00
160,4.28E-89,2.47E-02,9.75E-01
161,4.30E-112,3.50E-10,1.00E+00
162,2.51E-174,1.00E+00,5.28E-20
164,0.00E+00,1.96E-154,1.00E+00
165,1.10E-135,1.00E+00,6.96E-10
166,2.21E-31,1.57E-08,1.00E+00
167,0.00E+00,1.58E-85,1.00E+00
168,0.00E+00,1.31E-82,1.00E+00
169,0,0,1
170,5.56E-59,3.27E-05,1.00E+00
171,1.37E-155,1.72E-24,1.00E+00
172,3.20E-132,3.26E-08,1.00E+00
173,1.70E-233,1.86E-37,1.00E+00
174,4.23E-179,1.00E+00,1.11E-09
175,0.00E+00,5.96E-110,1.00E+00
176,2.73E-134,7.93E-18,1.00E+00
177,3.65E-49,6.35E-25,1.00E+00
178,2.88E-55,6.89E-09,1.00E+00
179,0.00E+00,9.24E-169,1.00E+00
180,1.08199610e-313,1.00E+00,4.76E-10
181,5.41E-70,6.43E-09,1.00E+00
182,0.00E+00,1.00E+00,3.13E-118
183,0.00E+00,5.72E-90,1.00E+00
184,0.00E+00,7.98E-210,1.00E+00
185,6.82E-238,4.51E-65,1.00E+00
186,2.16E-156,2.84E-25,1.00E+00
187,6.42E-77,9.99E-01,1.39E-03
188,0.00E+00,1.00E+00,1.97E-71
189,9.16E-265,5.55E-14,1.00E+00
190,1.05E-146,1.00E+00,1.41E-26
191,2.86E-58,9.99E-01,8.36E-04
192,2.00E-100,2.97E-18,1.00E+00
194,0.00E+00,3.29E-32,1.00E+00
195,2.64E-250,5.10E-28,1.00E+00
196,2.59E-116,1.00E+00,4.91E-34
197,0.00E+00,1.00E+00,3.13420090e-310
198,5.18E-126,2.91E-26,1.00E+00
199,8.34E-109,0.00E+00,1.00E+00
200,2.47E-146,3.23E-06,1.00E+00
201,1.96E-62,7.76E-08,1.00E+00
202,0.00E+00,1.00E+00,1.01E-24
203,5.29E-74,6.68E-11,1.00E+00
204,2.33E-89,1.40E-03,9.99E-01
205,0,0,1
206,1.88E-200,1.60E-26,1.00E+00
208,1.76E-178,8.46E-18,1.00E+00
209,1.31E-179,4.87E-17,1.00E+00
210,0.00E+00,1.65E-261,1.00E+00
211,3.94E-99,5.26E-18,1.00E+00
212,4.58E-164,2.48E-28,1.00E+00
213,5.70E-140,2.56E-16,1.00E+00
214,1.32E-174,5.06E-32,1.00E+00
215,0.00E+00,7.57E-67,1.00E+00
216,1.21E-120,3.46E-17,1.00E+00
217,0.00E+00,1.00E+00,3.20E-212
218,1.66E-112,1.00E+00,2.39E-10
219,1.09E-168,1.23E-13,1.00E+00
220,2.31E-50,4.48E-12,1.00E+00
221,5.08E-52,1.13E-07,1.00E+00
222,0.00E+00,6.43E-58,1.00E+00
223,1.11E-141,1.51E-15,1.00E+00
224,1.07E-151,1.58E-58,1.00E+00
225,5.01E-226,1.31E-18,1.00E+00
226,1.73E-73,5.19E-09,1.00E+00
227,2.45E-120,7.95E-14,1.00E+00
228,1.04778972e-318,3.59E-47,1.00E+00
229,9.60E-62,4.92E-03,9.95E-01
230,0.00E+00,1.00E+00,5.29E-31
231,0.00E+00,1.36E-111,1.00E+00
232,0.00E+00,1.00E+00,2.32E-244
233,2.48E-55,2.61E-10,1.00E+00
234,1.94E-136,6.53E-08,1.00E+00
235,0.00E+00,1.00E+00,1.28E-19
237,0.00E+00,1.59E-197,1.00E+00
238,0.00E+00,6.06E-67,1.00E+00
239,1.38E-106,1.00E+00,1.46E-06
240,0.00E+00,1.00E+00,2.06E-243
241,1.68E-189,2.64E-10,1.00E+00
242,0.00E+00,1.00E+00,1.23E-48
243,2.94E-198,3.43E-32,1.00E+00
244,0.00E+00,1.00E+00,5.98E-41
245,4.73E-27,8.42E-04,9.99E-01
246,5.33E-61,1.26E-38,1.00E+00
247,0.00E+00,1.00E+00,2.61E-77
248,1.21E-157,2.56E-20,1.00E+00
249,1.83E-141,1.00E+00,3.89E-04
250,3.71E-65,1.92E-05,1.00E+00
251,7.87E-70,1.00E+00,2.60E-09
252,2.68E-159,1.00E+00,2.44E-30
253,0,0,1
254,6.10E-217,2.70E-41,1.00E+00
255,0,0,1
256,1.29E-84,5.42E-01,4.58E-01
257,2.93E-280,1.65E-39,1.00E+00
258,1.46E-143,1.00E+00,3.24E-16
259,1.41E-165,1.00E+00,5.71E-16
260,0.00E+00,1.33E-62,1.00E+00
261,5.72E-119,1.00E+00,2.24E-10
262,0.00E+00,7.43E-121,1.00E+00
263,3.03E-72,1.00E+00,6.41E-09
264,1.05E-101,1.00E+00,2.85E-12
266,2.97E-112,4.41E-08,1.00E+00
267,0.00E+00,7.61E-174,1.00E+00
268,0.00E+00,4.46E-63,1.00E+00
269,0.00E+00,4.23E-40,1.00E+00
270,0,0,1
271,1.92E-43,3.83E-04,1.00E+00
272,3.04E-38,1.03E-20,1.00E+00
273,5.21E-94,7.33E-14,1.00E+00
274,1.11E-161,9.98E-01,1.53E-03
275,7.38E-68,9.98E-01,1.99E-03
276,1.08E-94,1.00E+00,2.27E-12
277,0.00E+00,1.00E+00,3.93E-132
278,8.93E-58,1.37E-08,1.00E+00
279,3.41E-70,2.17E-06,1.00E+00
280,6.29E-62,1.00E+00,4.14E-15
281,0.00E+00,1.08E-97,1.00E+00
282,0.00E+00,1.00E+00,2.00E-28
283,6.55E-118,3.79E-68,1.00E+00
284,0.00E+00,1.00E+00,4.67E-72
285,2.01E-45,8.29E-10,1.00E+00
286,9.38E-133,1.00E+00,1.60E-06
287,0.00E+00,1.33E-129,1.00E+00
288,1.53E-120,1.28E-07,1.00E+00
289,1.00E+00,7.70E-11,2.14E-05
290,6.25E-168,2.30E-27,1.00E+00
291,3.17E-262,5.51E-57,1.00E+00
292,2.11E-267,1.00E+00,4.12E-66
293,8.64E-261,1.00E+00,1.31E-19
294,6.86E-81,1.00E+00,9.26E-05
295,6.15E-147,2.35E-23,1.00E+00
296,1.18E-199,1.00E+00,3.34E-15
297,1.13E-65,4.93E-11,1.00E+00
298,0.00E+00,1.56E-96,1.00E+00
299,7.68E-121,1.00E+00,3.28E-12
300,0.00E+00,1.00E+00,4.34E-67
301,6.08E-62,5.38E-25,1.00E+00
302,0,1,0
303,1.14E-56,1.71E-04,1.00E+00
304,0.00E+00,1.00E+00,1.98E-61
305,8.10E-38,3.14E-05,1.00E+00
306,6.81E-184,8.54E-15,1.00E+00
307,2.62E-275,4.25E-24,1.00E+00
308,1.53E-236,1.00E+00,7.54E-08
309,2.85E-140,3.31E-12,1.00E+00
310,3.22E-77,2.45E-55,1.00E+00
311,5.23E-261,2.58E-38,1.00E+00
312,5.93E-226,1.00E+00,8.64E-16
313,0.00E+00,1.44E-10,1.00E+00
314,3.73E-236,3.89E-21,1.00E+00
315,4.74E-213,3.23E-05,1.00E+00
316,4.35E-202,1.95E-19,1.00E+00
317,0.00E+00,4.29E-176,1.00E+00
318,0.00E+00,1.00E+00,1.10E-57
319,2.37E-230,1.56E-14,1.00E+00
321,3.00E-46,2.39E-08,1.00E+00
322,3.37E-264,7.11E-61,1.00E+00
323,1.75E-210,1.09E-62,1.00E+00
324,0.00E+00,1.00E+00,2.85E-23
325,4.51E-136,4.08E-13,1.00E+00
326,0.00E+00,1.00E+00,5.05E-156
328,9.26E-240,1.00E+00,5.50E-07
329,1.81E-34,6.24E-08,1.00E+00
330,0.00E+00,2.61E-42,1.00E+00
331,0.00E+00,1.00E+00,2.46E-250
332,0,0,1
333,7.75E-211,1.52E-08,1.00E+00
334,0.00E+00,1.00E+00,5.56E-76
335,4.41E-200,1.96E-40,1.00E+00
336,1.18E-180,3.31E-71,1.00E+00
337,1.10E-137,1.00E+00,7.85E-16
338,1.00E+00,7.73E-62,1.08E-54
339,0.00E+00,1.00E+00,2.85E-81
340,1.40E-125,4.32E-12,1.00E+00
341,3.14E-45,9.98E-01,1.55E-03
342,1.09E-127,3.18E-31,1.00E+00
343,3.79E-256,1.00E+00,5.71E-19
344,1.14E-79,1.11E-19,1.00E+00
346,6.84E-131,9.82E-24,1.00E+00
348,6.30E-71,4.78E-05,1.00E+00
349,6.70E-84,7.25E-04,9.99E-01
350,1.14E-53,6.43E-08,1.00E+00
351,6.55E-77,9.34E-01,6.61E-02
352,0.00E+00,2.02E-15,1.00E+00
353,1.33E-88,1.90E-04,1.00E+00
354,0.00E+00,1.85E-58,1.00E+00
355,0.00E+00,6.10E-73,1.00E+00
356,0.00E+00,5.79E-63,1.00E+00
357,2.29E-141,5.92E-19,1.00E+00
358,3.04E-71,1.00E+00,1.11E-06
360,1.92E-124,1.00E+00,4.84E-19
361,0,0,1
362,2.73E-106,1.34E-09,1.00E+00
363,2.48E-78,9.99E-01,5.26E-04
364,0.00E+00,1.00E+00,4.86E-61
365,0,0,1
366,0.00E+00,1.00E+00,2.93E-68
367,0.00E+00,1.00E+00,4.69E-120
368,0,0.80334229 ,0.19665771
369,5.75E-170,4.42E-19,1.00E+00
370,4.24E-45,1.00E+00,8.33E-07
371,0.00E+00,1.00E+00,3.58E-64
372,0.00E+00,1.00E+00,7.50E-129
373,2.30E-87,9.85E-01,1.51E-02
374,3.79E-105,1.06E-05,1.00E+00
375,2.12E-230,1.00E+00,1.63E-12
376,1.00E+00,9.70E-97,2.17E-95
377,0.00E+00,1.00E+00,1.15E-32
378,3.72E-120,1.55E-09,1.00E+00
379,0.00E+00,1.00E+00,2.34E-66
380,0.00E+00,1.65E-76,1.00E+00
381,3.54E-69,3.46E-02,9.65E-01
382,1.25E-63,2.35E-03,9.98E-01
383,0.00E+00,1.79E-220,1.00E+00
384,0.00E+00,1.00E+00,4.14E-158
385,0,1,0
386,0.00E+00,1.00E+00,9.56E-126
387,1.39E-116,1.00E+00,1.65E-08
388,1.30E-306,1.00E+00,4.62E-20
389,2.33E-34,9.99E-01,5.11E-04
390,0.00E+00,3.11E-277,1.00E+00
391,5.23E-74,1.00E+00,1.30E-04
392,7.05E-72,4.84E-02,9.52E-01
393,2.57336584e-315,3.12E-264,1.00E+00
394,0,0,1
395,7.29E-187,1.00E+00,1.17E-21
396,1.42E-68,2.14E-02,9.79E-01
397,5.03E-123,1.00E+00,3.52E-17
399,3.00E-32,6.21E-06,1.00E+00
400,7.12E-76,4.59E-15,1.00E+00
401,4.20E-123,1.71E-16,1.00E+00
402,2.21E-127,1.99E-10,1.00E+00
403,0.00E+00,1.00E+00,2.09E-51
404,0.00E+00,1.62E-04,1.00E+00
405,1.20E-83,1.00E+00,1.22E-05
406,3.17E-120,1.87E-10,1.00E+00
407,0.00E+00,1.60E-93,1.00E+00
408,4.82E-100,1.00E+00,1.17E-09
409,0.00E+00,7.08E-49,1.00E+00
410,0,0,1
411,6.89E-151,1.12E-27,1.00E+00
412,0.00E+00,2.35E-293,1.00E+00
413,3.76E-135,1.17E-19,1.00E+00
414,0.00E+00,1.25E-225,1.00E+00
415,0.00E+00,1.00E+00,4.41E-39
416,8.89318163e-323,7.45E-32,1.00E+00
417,0.00E+00,1.00E+00,1.22E-260
418,1.57E-183,1.00E+00,7.79E-09
419,1.57E-161,1.00E+00,1.56E-04
420,2.21E-51,1.69E-08,1.00E+00
421,9.41E-87,1.94E-07,1.00E+00
422,4.04E-48,2.44E-08,1.00E+00
423,0.00E+00,5.97E-64,1.00E+00
424,0.00E+00,1.00E+00,1.13E-18
425,4.43E-201,1.03E-19,1.00E+00
426,1.25E-242,4.78E-26,1.00E+00
427,2.49E-219,2.68E-04,1.00E+00
428,7.69E-56,3.26E-17,1.00E+00
429,0.00E+00,2.25E-42,1.00E+00
430,0.00E+00,2.03E-07,1.00E+00
431,3.92E-98,1.96E-01,8.04E-01
432,3.72E-94,3.41E-12,1.00E+00
433,1.34E-65,2.76E-16,1.00E+00
434,2.55E-51,2.00E-10,1.00E+00
435,1.24E-164,1.43E-08,1.00E+00
436,0.00E+00,1.88E-112,1.00E+00
437,0,0,1
438,3.81E-70,3.80E-04,1.00E+00
439,8.51E-269,1.00E+00,4.11E-24
440,9.23E-50,1.69E-06,1.00E+00
441,1.06E-48,1.56E-14,1.00E+00
442,0.00E+00,1.00E+00,2.32E-41
444,8.30E-99,1.84E-08,1.00E+00
445,0.00E+00,3.32E-162,1.00E+00
446,2.90E-55,9.23E-10,1.00E+00
447,2.64E-81,9.47E-04,9.99E-01
448,3.70E-205,1.00E+00,3.47E-10
449,9.33E-60,1.20E-02,9.88E-01
450,0.00E+00,1.00E+00,1.91E-11
451,4.99E-100,1.00E+00,2.46E-04
452,0.00E+00,1.93E-70,1.00E+00
453,1.24E-215,1.46E-36,1.00E+00
454,2.71E-31,7.53E-04,9.99E-01
455,5.48E-194,1.00E+00,2.82E-28
456,0.00E+00,6.87E-187,1.00E+00
457,4.29E-70,1.00E+00,4.45E-27
458,1.51E-141,1.00E+00,6.04E-12
459,0.00E+00,6.78E-47,1.00E+00
460,0.00E+00,1.00E+00,1.07E-13
461,5.55E-49,5.77E-10,1.00E+00
463,1.27E-38,2.52E-01,7.48E-01
464,0.00E+00,1.62E-194,1.00E+00
465,0.00E+00,1.00E+00,3.01E-48
466,0.00E+00,4.17E-32,1.00E+00
467,2.28E-67,5.51E-06,1.00E+00
468,2.57E-55,1.00E+00,1.55E-06
469,3.82E-84,9.79E-01,2.12E-02
470,0.00E+00,2.37E-261,1.00E+00
471,2.19E-165,1.75E-89,1.00E+00
472,5.81E-115,7.67E-05,1.00E+00
473,2.56E-207,1.00E+00,3.42E-36
474,5.17E-258,1.76E-28,1.00E+00
475,0.00E+00,1.00E+00,5.78E-36
476,0.00E+00,2.77E-15,1.00E+00
477,6.22E-211,7.17E-33,1.00E+00
478,2.54E-84,1.25E-07,1.00E+00
479,1.90E-256,1.00E+00,1.33E-21
480,0.00E+00,6.47E-29,1.00E+00
481,4.94065646e-324,1.91E-118,1.00E+00
482,0.00E+00,1.00E+00,5.75E-62
483,1.08694442e-322,1.00E+00,5.24E-15
484,6.81E-101,1.00E+00,3.68E-04
485,2.62E-72,1.00E+00,9.37E-07
486,8.76E-127,6.06E-01,3.94E-01
487,0.00E+00,5.11E-94,1.00E+00
488,5.79E-60,9.57E-01,4.27E-02
489,3.25E-94,9.87E-01,1.26E-02
490,3.59E-221,7.82E-25,1.00E+00
491,0.00E+00,1.00E+00,3.53E-44
492,2.77E-42,1.00E+00,3.40E-11
493,3.34E-171,1.00E+00,1.68E-27
494,2.93E-44,9.93E-14,1.00E+00
495,9.02E-72,8.13E-12,1.00E+00
496,1.91148168e-317,1.00E+00,3.67E-26
497,0.00E+00,1.43E-33,1.00E+00
498,0.00E+00,1.38E-33,1.00E+00
499,3.74E-114,1.00E+00,2.44E-14
500,0.00E+00,1.00E+00,4.83E-14
501,0.00E+00,6.96E-227,1.00E+00
502,0.00E+00,5.48E-47,1.00E+00
503,4.82E-137,1.56E-13,1.00E+00
504,0.00E+00,1.00E+00,2.64E-35
505,1.49E-62,7.52E-24,1.00E+00
506,3.85E-220,3.66E-12,1.00E+00
507,6.19E-110,1.00E+00,5.60E-06
508,0,1,0
509,0.00E+00,1.00E+00,1.56E-144
510,2.62E-72,1.93E-20,1.00E+00
511,9.56E-114,1.00E+00,2.03E-05
512,7.03E-285,9.01E-26,1.00E+00
513,0,0.99743701 ,0.00256299
514,5.82E-294,1.34E-06,1.00E+00
