user_id,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,tralength_1_2,tralength_1_3,tralength_1_4,tralength_1_5,tralength_1_6,tralength_2_3,tralength_2_4,tralength_2_5,tralength_2_6,tralength_3_4,tralength_3_5,tralength_3_6,tralength_4_5,tralength_4_6,tralength_5_6,wtralength_1_2,wtralength_1_3,wtralength_1_4,wtralength_1_5,wtralength_1_6,wtralength_2_3,wtralength_2_4,wtralength_2_5,wtralength_2_6,wtralength_3_4,wtralength_3_5,wtralength_3_6,wtralength_4_5,wtralength_4_6,wtralength_5_6,gender
76,19.18276374442793462100,0.44576523031203566120,0.04457652303120356620,0.02971768202080237740,0.10401188707280832100,0.19316493313521545320,3178.8428437211464,3900.6150868857444,,678.4022734364142,8425.812611377089,6122.173717062318,,,,,,,,,,3427.5120124732234,7396.0236968619965,3261.1021755963084,,7965.725853342894,1471.4783723569433,,,5292.661441579878,,,,,,,F
71903,16.94656488549618320620,1.45038167938931297700,0.00000000000000000000,0.15267175572519083960,0.53435114503816793900,0.91603053435114503820,2358.865003049762,,3040.83261002067,5737.206438522193,9114.871642054759,,,4570.104061482317,,,,,,10471.697537793101,,2931.957950852739,,3883.171351219319,5889.282057062441,9738.147189912072,,,3226.700747984022,10630.701573753544,,,,,,,M
718343,1.17647058823529411760,4.11764705882352941180,0.00000000000000000000,0.58823529411764705880,1.17647058823529411760,12.94117647058823529420,,,,,,,,3192.228111226643,6579.951148737137,,,,,,5732.774566482108,1294.3401417967914,,,,10248.261733273805,,,5057.022569061705,6194.683220616145,,,,2679.6238305402367,2001.5315301995079,,F
754873,6.66666666666666666660,1.11111111111111111120,1.11111111111111111120,0.00000000000000000000,0.00000000000000000000,11.11111111111111111120,,,,,4784.706832307476,,,,1731.9290826742167,,,,,,,,,,,5039.9161242221435,,,,,,,9155.905920907018,,,,M
755019,0.11267605633802816900,0.16901408450704225360,0.16901408450704225360,0.16901408450704225360,1.18309859154929577460,18.19718309859154929580,,,,1052.20247193903,2695.8110840057343,,,,5082.48874512371,,,11346.224935736656,,2170.9049166303885,6618.270343265847,,,,,,,,,2125.9169811948914,,,,,644.0666628665781,5915.7037631106505,M
793931,0.85106382978723404260,7.23404255319148936180,0.42553191489361702120,0.85106382978723404260,4.25531914893617021280,6.38297872340425531920,2097.2897507260277,,,,4383.7542414455365,,4874.1791557258775,4878.175830818112,5492.285608799537,,,2443.692124700522,,4018.3027296894693,3891.5534786749736,3881.300830350277,,,,5509.048276506355,,,2930.6246085181283,,,,,,,9361.828250782311,F
807145,0.00000000000000000000,0.00000000000000000000,3.33333333333333333340,0.00000000000000000000,0.00000000000000000000,16.66666666666666666660,,,,,,,,,,,,3283.675338750402,,,,,,,,,,,,,,,,,,,F
812979,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,4.80000000000000000000,15.20000000000000000000,,,,,,,,,,,,,,,8000.4931729117625,,,,,,,,,,,,,,,5092.069825114277,M
926251,14.83253588516746411480,0.33492822966507177040,0.19138755980861244020,0.28708133971291866020,0.28708133971291866020,4.06698564593301435400,2905.6368226896425,3766.7363925204527,3169.307005370179,2283.0630162231314,3284.2501781657415,,4305.167444295902,,,,,3098.887271964541,,7528.6850919823355,,1226.4198479931283,,5845.223985711698,5846.634055308234,3837.9981881511358,8548.132395418092,,4230.1068641359125,,,,1026.4762234734787,,,,M
981871,17.40740740740740740740,0.00000000000000000000,1.48148148148148148140,0.00000000000000000000,0.00000000000000000000,1.11111111111111111120,,1871.6381853108176,,,3992.776771772431,,,,,,,,,,,,,,,,,,,,,,,,,,M
